Month,Year,Rainfall,WPI
4,2012,47.5,105.3
5,2012,31.7,105.1
6,2012,122.4,105.5
7,2012,257.9,105.6
8,2012,262,105.6
9,2012,199.4,105.5
10,2012,58.7,105.1
11,2012,30.7,105.2
12,2012,11.7,104.5
1,2013,11.3,106.5
2,2013,40.1,106.5
3,2013,15.7,105.6
4,2013,30.4,118.9
5,2013,57.8,119
6,2013,221.1,118.9
7,2013,311.5,118.9
8,2013,258,118.9
9,2013,155.1,118.9
10,2013,129.4,119
11,2013,14,121.1
12,2013,6.7,121.7
1,2014,19.2,121
2,2014,27.4,121
3,2014,36.1,121
4,2014,22.2,125.5
5,2014,72.9,125.2
6,2014,92.8,125.2
7,2014,266.7,125.2
8,2014,234.6,125.3
9,2014,190.1,122.3
10,2014,60.2,122.6
11,2014,14.4,118.3
12,2014,10.7,117
1,2015,17.4,116.7
2,2015,21,116.7
3,2015,62,110.9
4,2015,69.4,105.7
5,2015,53.8,103.7
6,2015,188.9,104.1
7,2015,240.7,104.2
8,2015,204.1,105
9,2015,131.7,105
10,2015,42.9,106.2
11,2015,39.4,95.2
12,2015,15,102.1
1,2016,19.3,101.8
2,2016,22.8,103.3
3,2016,27.6,95.3
4,2016,37.4,96.7
5,2016,62.6,96.3
6,2016,147,99.5
7,2016,308.4,95.8
8,2016,239.4,93
9,2016,168.8,93.2
10,2016,76.1,93.6
11,2016,29.7,93.7
12,2016,14.9,95.8
1,2017,19,95.9
2,2017,22.6,98.3
3,2017,27.8,99.8
4,2017,37.9,100.7
5,2017,62.4,98
6,2017,171.9,98
7,2017,290.5,96.4
8,2017,228.3,93.2
9,2017,153,99.3
10,2017,76.3,99.4
11,2017,29.9,99.1
12,2017,15,98.7
1,2018,19.2,98.7
2,2018,20.1,102.7
3,2018,27.1,104.2
4,2018,40.2,105.7
5,2018,62.7,106
6,2018,155.7,106.1
7,2018,273.8,107.3
8,2018,240.5,113
9,2018,132.3,113.3
10,2018,165,113.3
11,2018,286.3,114.5
12,2018,254.3,116.3
1,2019,171.9,115.6
2,2019,77.2,115.6
3,2019,28.1,115.9
4,2019,14.1,115.9
5,2019,57.7,116.5
6,2019,112.9,116.5
7,2019,296.7,116.5
8,2019,299.3,115.3
9,2019,260.4,115.3
10,2019,86.9,115.3
11,2019,63.4,115.9
12,2019,46.9,115
1,2020,71,111.9
2,2020,48.5,111.9
3,2020,41,110.8
4,2020,36.1,110.8
5,2020,37.9,110.8
6,2020,145.9,110.8
7,2020,241.3,110.8
8,2020,212.8,110.8
9,2020,149.3,111.2
10,2020,65.2,111.7
11,2020,82.5,112.4
12,2020,72.9,113.8
1,2021,52.8,115.1
2,2021,26.1,112.4
3,2021,15.4,110.5
4,2021,9.5,112.9
5,2021,10.7,115
6,2021,94.4,116.8
7,2021,216.3,117.5
8,2021,212.4,117.9
9,2021,176.5,117.9
10,2021,76.3,116.9
11,2021,86.4,116.9
12,2021,85.3,117.9
1,2022,70.4,119.1
2,2022,49.4,120.8
3,2022,44.5,120.8
4,2022,42,123
5,2022,45.2,123
6,2022,171.8,123
7,2022,282.7,128.2
8,2022,270.8,128
9,2022,219.1,128.6
10,2022,90.4,131.2
11,2022,106.3,131.2
12,2022,102.9,134.9
1,2023,87.3,141
2,2023,61.4,141
3,2023,53.7,140.4
4,2023,49.5,141.5
5,2023,50.4,142.1
6,2023,185.8,142.2
7,2023,300.7,141.7
8,2023,286.7,142.1
9,2023,241.5,148
10,2023,105.7,147.6
